Model,Make,YOM,Used,Transmission,Mileage,Location,Price,Age,Fuel_Type
X-Trail,Nissan,2014,Foreign Used,Automatic,96524,Nairobi,2200000,10,Petrol
Dualis,Nissan,2014,Foreign Used,Automatic,95567,Mombasa,1725000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,69555,Mombasa,850000,10,Petrol
March,Nissan,2014,Foreign Used,Automatic,42314,Mombasa,630000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,30000,Mombasa,2200000,10,Petrol
Latio,Nissan,2014,Foreign Used,Automatic,58255,Mombasa,800000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,59000,Nairobi,1280000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,98000,Nairobi,2290000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,74000,Nairobi,2090000,10,Petrol
March,Nissan,2014,Foreign Used,Automatic,53000,Nairobi,700000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,93000,Nairobi,2200000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,36000,Mombasa,1200000,10,Petrol
Serena,Nissan,2014,Foreign Used,Automatic,90000,Nairobi,1290000,10,Petrol
Lafesta,Nissan,2014,Foreign Used,Automatic,69088,Mombasa,1000000,10,Petrol
Latio,Nissan,2014,Foreign Used,Automatic,63000,Nairobi,830000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,146767,Nairobi,835000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,95123,Mombasa,1200000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,73200,Mombasa,1100000,10,Petrol
Juke,Nissan,2014,Foreign Used,Automatic,58000,Mombasa,1450000,10,Petrol
Bluebird,Nissan,2014,Foreign Used,Automatic,89652,Nairobi,1300000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,90000,Nairobi,2130000,10,Petrol
Note,Nissan,2015,Foreign Used,Automatic,157000,Nairobi,770000,9,Petrol
Sylphy,Nissan,2015,Foreign Used,Automatic,47000,Nairobi,1299999,9,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,63000,Nairobi,1250000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,115000,Nairobi,1930000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,76000,Nairobi,2100000,10,Petrol
Juke,Nissan,2014,Foreign Used,Automatic,95,Mombasa,1450000,10,Petrol
Wingroad,Nissan,2015,Foreign Used,Automatic,78596,Mombasa,850000,9,Petrol
Juke,Nissan,2015,Foreign Used,Automatic,65400,Mombasa,1500000,9,Petrol
Wingroad,Nissan,2014,Foreign Used,Automatic,164371,Mombasa,900000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,80000,Nairobi,1250000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,75234,Mombasa,880000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,145336,Mombasa,880000,10,Petrol
Lafesta,Nissan,2014,Foreign Used,Automatic,100809,Nairobi,1050000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,62000,Nairobi,920000,10,Petrol
Tiida,Nissan,2014,Foreign Used,Automatic,89000,Mombasa,780000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,98000,Nairobi,2290000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,115000,Nairobi,1930000,10,Petrol
Serena,Nissan,2014,Foreign Used,Automatic,89100,Mombasa,1150000,10,Petrol
Teana,Nissan,2014,Foreign Used,Automatic,72100,Mombasa,1150000,10,Petrol
Note,Nissan,2013,Foreign Used,Automatic,36000,Mombasa,700000,11,Petrol
Wingroad,Nissan,2014,Foreign Used,Automatic,85230,Mombasa,830000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,45000,Nairobi,2199999,10,Petrol
Advan,Nissan,2013,Foreign Used,Automatic,73000,Mombasa,680000,11,Petrol
Serena,Nissan,2013,Foreign Used,Automatic,89617,Mombasa,1100000,11,Petrol
Wingroad,Nissan,2014,Foreign Used,Automatic,60000,Mombasa,800000,10,Petrol
Note,Nissan,2015,Foreign Used,Automatic,76145,Mombasa,780000,9,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,72000,Nairobi,2100000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,45000,Nairobi,2199999,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,74000,Nairobi,1239000,10,Petrol
Juke,Nissan,2015,Foreign Used,Automatic,65210,Mombasa,1300000,9,Petrol
Latio,Nissan,2014,Foreign Used,Automatic,85636,Mombasa,850000,10,Petrol
Wingroad,Nissan,2014,Foreign Used,Automatic,164371,Mombasa,900000,10,Petrol
