Model,Make,YOM,Used,Transmission,Mileage,Location,Price,Age,Fuel_Type
Harrier,Toyota,2015,Kenyan Used,Automatic,870000,Nairobi,3100000,9,Petrol
Corolla,Toyota,2003,Kenyan Used,Automatic,151000,Nairobi,550000,21,Petrol
Rush,Toyota,2011,Kenyan Used,Automatic,102000,Mombasa,1200000,13,Petrol
Premio,Toyota,2013,Kenyan Used,Automatic,98000,Nairobi,1525000,11,Petrol
Premio,Toyota,2011,Kenyan Used,Automatic,98452,Mombasa,1050000,13,Petrol
Probox,Toyota,2012,Kenyan Used,Automatic,158000,Nairobi,740000,12,Petrol
Land,Toyota,2012,Kenyan Used,Automatic,85000,Nairobi,3850000,12,Petrol
Land,Toyota,2014,Kenyan Used,Manual,38000,Nairobi,5500000,10,Petrol
Fielder,Toyota,2012,Kenyan Used,CVT,124000,Machakos,880000,12,Petrol
Fielder,Toyota,2014,Kenyan Used,Automatic,141000,Mombasa,1045000,10,Petrol
Sienta,Toyota,2010,Kenyan Used,Automatic,137000,Nairobi,750000,14,Petrol
Crown,Toyota,2011,Kenyan Used,Automatic,130000,Mombasa,1300000,13,Petrol
Premio,Toyota,2007,Kenyan Used,Automatic,132000,Nairobi,850000,17,Petrol
Land,Toyota,2006,Kenyan Used,Automatic,125385,Nairobi,2200000,18,Petrol
Land,Toyota,2014,Kenyan Used,Automatic,42230,Nairobi,4750000,10,Petrol
Probox,Toyota,2010,Kenyan Used,Automatic,148000,Kiambu,650000,14,Petrol
Harrier,Toyota,2008,Kenyan Used,Automatic,125123,Mombasa,1400000,16,Petrol
Land,Toyota,2009,Kenyan Used,Automatic,160000,Nairobi,3250000,15,Petrol
Harrier,Toyota,2014,Kenyan Used,Automatic,33000,Mombasa,3500000,10,Petrol
Land,Toyota,2007,Kenyan Used,Automatic,123041,Mombasa,1700000,17,Petrol
Hilux,Toyota,2016,Kenyan Used,Manual,165000,Nairobi,1900000,8,Petrol
Auris,Toyota,2013,Kenyan Used,Automatic,146000,Nairobi,990000,11,Petrol
Land,Toyota,2008,Kenyan Used,Automatic,150000,Nairobi,2450000,16,Petrol
TownAce,Toyota,2012,Kenyan Used,Automatic,99000,Kiambu,530000,12,Petrol
Land,Toyota,2014,Kenyan Used,Manual,65000,Nairobi,3890000,10,Petrol
Voxy,Toyota,2006,Kenyan Used,Automatic,149805,Nairobi,595000,18,Petrol
Hilux,Toyota,2013,Kenyan Used,Automatic,180000,Kiambu,2700000,11,Petrol
Vanguard,Toyota,2010,Kenyan Used,Automatic,98000,Nairobi,1480000,14,Petrol
Allion,Toyota,2011,Kenyan Used,Automatic,125623,Nairobi,1085000,13,Petrol
Hilux,Toyota,2012,Kenyan Used,Automatic,80000,Mombasa,2600000,12,Petrol
Probox,Toyota,2015,Kenyan Used,Automatic,160378,Mombasa,760000,9,Petrol
Premio,Toyota,2012,Kenyan Used,Automatic,86782,Nairobi,1350000,12,Petrol
Fielder,Toyota,2013,Kenyan Used,Automatic,97852,Nairobi,990000,11,Petrol
Voxy,Toyota,2012,Kenyan Used,Automatic,110526,Nairobi,1380000,12,Petrol
Ractis,Toyota,2012,Kenyan Used,Automatic,87123,Mombasa,685000,12,Petrol
RAV4,Toyota,2008,Kenyan Used,Automatic,160207,Nairobi,995000,16,Petrol
Hilux,Toyota,2011,Kenyan Used,Manual,151983,Machakos,1200000,13,Petrol
Hilux,Toyota,2008,Kenyan Used,Manual,128909,Nairobi,1510000,16,Petrol
Fielder,Toyota,2013,Kenyan Used,Automatic,97526,Nairobi,1080000,11,Petrol
Mark,Toyota,2008,Kenyan Used,Automatic,116000,Nairobi,790000,16,Petrol
Sienta,Toyota,2012,Kenyan Used,Automatic,89000,Nairobi,910000,12,Petrol
Hilux,Toyota,2012,Kenyan Used,Automatic,149000,Nairobi,2799000,12,Petrol
Mark,Toyota,2009,Kenyan Used,Automatic,123000,Mombasa,930000,15,Petrol
Harrier,Toyota,2012,Kenyan Used,Automatic,73222,Mombasa,2450000,12,Petrol
Probox,Toyota,2015,Kenyan Used,Automatic,87000,Mombasa,900000,9,Petrol
Harrier,Toyota,2011,Kenyan Used,Automatic,116197,Mombasa,1600000,13,Petrol
Fortuner,Toyota,2012,Kenyan Used,Automatic,121000,Nairobi,2490000,12,Petrol
Harrier,Toyota,2010,Kenyan Used,Automatic,108000,Nairobi,1850000,14,Petrol
Voxy,Toyota,2011,Kenyan Used,Automatic,109852,Nairobi,1190000,13,Petrol
Allion,Toyota,2006,Kenyan Used,Automatic,84000,Nairobi,795000,18,Petrol
RAV4,Toyota,2011,Kenyan Used,Automatic,124215,Nairobi,1489000,13,Petrol
Crown,Toyota,2007,Kenyan Used,Automatic,112000,Nairobi,885000,17,Petrol
Fielder,Toyota,2011,Kenyan Used,Automatic,905241,Nairobi,990000,13,Petrol
Harrier,Toyota,2009,Kenyan Used,CVT,169000,Machakos,1500000,15,Petrol
Premio,Toyota,2008,Kenyan Used,Automatic,103085,Nairobi,980000,16,Petrol
Land,Toyota,2011,Kenyan Used,Automatic,125000,Mombasa,6300000,13,Petrol
Hilux,Toyota,2011,Kenyan Used,Automatic,136985,Nairobi,1420000,13,Petrol
Hilux,Toyota,2020,Kenyan Used,Manual,32145,Nairobi,2350000,4,Petrol
Belta,Toyota,2011,Kenyan Used,Automatic,124536,Mombasa,650000,13,Petrol
Crown,Toyota,2012,Kenyan Used,Automatic,30000,Mombasa,1400000,12,Petrol
Land,Toyota,2005,Kenyan Used,Manual,153790,Nairobi,3300000,19,Petrol
Harrier,Toyota,2004,Kenyan Used,Automatic,180000,Nairobi,1300000,20,Petrol
TownAce,Toyota,2011,Kenyan Used,Automatic,156000,Kiambu,650000,13,Petrol
Vellfire,Toyota,2009,Kenyan Used,Automatic,183024,Nakuru,1350000,15,Petrol
Mark,Toyota,2011,Kenyan Used,Automatic,110000,Nairobi,1030000,13,Petrol
Harrier,Toyota,2014,Kenyan Used,Automatic,121000,Nairobi,2200000,10,Petrol
RAV4,Toyota,2011,Kenyan Used,Automatic,97412,Mombasa,1700000,13,Petrol
Wish,Toyota,2010,Kenyan Used,Automatic,91000,Nairobi,830000,14,Petrol
Auris,Toyota,2014,Kenyan Used,Automatic,123908,Nairobi,1250000,10,Petrol
Mark,Toyota,2013,Kenyan Used,Automatic,119000,Mombasa,1450000,11,Petrol
Harrier,Toyota,2014,Kenyan Used,Automatic,121000,Nairobi,2200000,10,Petrol
Premio,Toyota,2007,Kenyan Used,Automatic,151235,Nairobi,715000,17,Petrol
Mark,Toyota,2001,Kenyan Used,Automatic,180000,Nairobi,550000,23,Petrol
Succeed,Toyota,2007,Kenyan Used,Automatic,121000,Nairobi,630000,17,Petrol
Axio,Toyota,2008,Kenyan Used,Automatic,120000,Kiambu,690000,16,Petrol
Premio,Toyota,2007,Kenyan Used,Automatic,129855,Nairobi,920000,17,Petrol
TownAce,Toyota,2007,Kenyan Used,Automatic,170000,Nairobi,790000,17,Petrol
Vanguard,Toyota,2010,Kenyan Used,Automatic,132266,Nairobi,1495000,14,Petrol
TownAce,Toyota,2009,Kenyan Used,Manual,130000,Mombasa,680000,15,Petrol
RAV4,Toyota,2006,Kenyan Used,Automatic,130000,Mombasa,1100000,18,Petrol
Succeed,Toyota,2011,Kenyan Used,Automatic,105000,Kilifi,750000,13,Petrol
Hilux,Toyota,2012,Kenyan Used,Manual,134908,Nairobi,1970000,12,Petrol
Passo,Toyota,2011,Kenyan Used,Automatic,137000,Nairobi,540000,13,Petrol
Sienta,Toyota,2010,Kenyan Used,Automatic,108000,Mombasa,695000,14,Petrol
Mark,Toyota,2007,Kenyan Used,Automatic,121000,Nairobi,620000,17,Petrol
Probox,Toyota,2010,Kenyan Used,Automatic,120000,Nairobi,670000,14,Petrol
Voxy,Toyota,2007,Kenyan Used,Automatic,167000,Nairobi,565000,17,Petrol
Harrier,Toyota,2002,Kenyan Used,Automatic,165000,Nairobi,1100000,22,Petrol
Voxy,Toyota,2012,Kenyan Used,Automatic,89376,Nairobi,1350000,12,Petrol
Premio,Toyota,2010,Kenyan Used,Automatic,105000,Mombasa,990000,14,Petrol
Vitz,Toyota,2006,Kenyan Used,Automatic,127000,Nairobi,510000,18,Petrol
Vitz,Toyota,2012,Kenyan Used,Automatic,89075,Mombasa,690000,12,Petrol
Fortuner,Toyota,2010,Kenyan Used,Automatic,140000,Mombasa,2450000,14,Petrol
Land,Toyota,2009,Kenyan Used,Automatic,78000,Nairobi,3350000,15,Petrol
Harrier,Toyota,2014,Kenyan Used,Automatic,685238,Nairobi,2300000,10,Petrol
Vanguard,Toyota,2013,Kenyan Used,Automatic,80963,Nairobi,2450000,11,Petrol
Land,Toyota,2011,Kenyan Used,Automatic,89455,Nairobi,3550000,13,Petrol
Probox,Toyota,2012,Kenyan Used,Automatic,120000,Kiambu,580000,12,Petrol
Spade,Toyota,2013,Kenyan Used,Automatic,120000,Kiambu,700000,11,Petrol
Ractis,Toyota,2013,Kenyan Used,Automatic,62000,Nairobi,720000,11,Petrol
IST,Toyota,2004,Kenyan Used,Automatic,112321,Nairobi,520000,20,Petrol
Rush,Toyota,2011,Kenyan Used,Automatic,108000,Nairobi,1100000,13,Petrol
Fielder,Toyota,2010,Kenyan Used,Automatic,61369,Nairobi,1050000,14,Petrol
Premio,Toyota,2005,Kenyan Used,Automatic,152843,Nairobi,665000,19,Petrol
Axio,Toyota,2012,Kenyan Used,Automatic,124000,Nairobi,900000,12,Petrol
Land,Toyota,2007,Kenyan Used,Automatic,129141,Nairobi,2100000,17,Petrol
Premio,Toyota,2006,Kenyan Used,Automatic,160000,Nairobi,690000,18,Petrol
ISIS,Toyota,2009,Kenyan Used,Automatic,161201,Nairobi,750000,15,Petrol
Land,Toyota,2010,Kenyan Used,Automatic,145000,Mombasa,1900000,14,Petrol
Axio,Toyota,2008,Kenyan Used,Automatic,125833,Nairobi,680000,16,Petrol
Land,Toyota,2010,Kenyan Used,Automatic,144000,Nairobi,3700000,14,Petrol
Hilux,Toyota,2009,Kenyan Used,Automatic,196000,Nairobi,1020000,15,Petrol
Passo,Toyota,2012,Kenyan Used,Automatic,73629,Nairobi,635000,12,Petrol
Premio,Toyota,2013,Kenyan Used,Automatic,67372,Mombasa,1400000,11,Petrol
Axio,Toyota,2010,Kenyan Used,Automatic,104015,Nairobi,715000,14,Petrol
Harrier,Toyota,2007,Kenyan Used,Automatic,123851,Nairobi,1430000,17,Petrol
Crown,Toyota,2011,Kenyan Used,Automatic,273129,Mombasa,1400000,13,Petrol
Fielder,Toyota,2010,Kenyan Used,Automatic,123456,Nairobi,990000,14,Petrol
Harrier,Toyota,2005,Kenyan Used,Automatic,92000,Nairobi,1200000,19,Petrol
Hilux,Toyota,2010,Kenyan Used,Manual,102000,Nairobi,2500000,14,Petrol
Premio,Toyota,2005,Kenyan Used,Automatic,175000,Kiambu,650000,19,Petrol
Vitz,Toyota,2010,Kenyan Used,Automatic,110000,Nairobi,500000,14,Petrol
Fielder,Toyota,2009,Kenyan Used,Automatic,140000,Nairobi,830000,15,Petrol
Hilux,Toyota,2008,Kenyan Used,Manual,150000,Nairobi,1100000,16,Petrol
Succeed,Toyota,2011,Kenyan Used,Automatic,139085,Nairobi,700000,13,Petrol
Fortuner,Toyota,2007,Kenyan Used,Automatic,142000,Nairobi,2560000,17,Petrol
Land,Toyota,2014,Kenyan Used,Automatic,45000,Mombasa,5000000,10,Petrol
Porte,Toyota,2011,Kenyan Used,Automatic,152000,Kiambu,520000,13,Petrol
Hilux,Toyota,2015,Kenyan Used,Automatic,128522,Nairobi,2500000,9,Petrol
Land,Toyota,2005,Kenyan Used,Automatic,124000,Nairobi,1649000,19,Petrol
Harrier,Toyota,2004,Kenyan Used,Automatic,120000,Mombasa,1300000,20,Petrol
Land,Toyota,2007,Kenyan Used,Automatic,147433,Nairobi,2350000,17,Petrol
Probox,Toyota,2014,Kenyan Used,Automatic,123000,Mombasa,890000,10,Petrol
Probox,Toyota,2013,Kenyan Used,Automatic,28411,Mombasa,820000,11,Petrol
Harrier,Toyota,2009,Kenyan Used,Automatic,123142,Mombasa,1590000,15,Petrol
Succeed,Toyota,2006,Kenyan Used,Automatic,160000,Nairobi,520000,18,Petrol
Premio,Toyota,2005,Kenyan Used,Automatic,175000,Kiambu,650000,19,Petrol
Belta,Toyota,2010,Kenyan Used,Automatic,187000,Kiambu,610000,14,Petrol
Premio,Toyota,2004,Kenyan Used,Automatic,146000,Nairobi,680000,20,Petrol
Auris,Toyota,2010,Kenyan Used,Automatic,155000,Nairobi,850000,14,Petrol
Premio,Toyota,2010,Kenyan Used,Automatic,96142,Mombasa,1000000,14,Petrol
Premio,Toyota,2009,Kenyan Used,Automatic,104000,Nairobi,930000,15,Petrol
Wish,Toyota,2009,Kenyan Used,Automatic,89000,Mombasa,1050000,15,Petrol
Prius,Toyota,2011,Kenyan Used,Automatic,125412,Mombasa,650000,13,Petrol
Premio,Toyota,2012,Kenyan Used,Automatic,118410,Nairobi,1270000,12,Petrol
Vanguard,Toyota,2013,Kenyan Used,Automatic,84123,Mombasa,2150000,11,Petrol
Wish,Toyota,2004,Kenyan Used,Automatic,215000,Kiambu,510000,20,Petrol
Premio,Toyota,2011,Kenyan Used,Automatic,86521,Nairobi,1150000,13,Petrol
Harrier,Toyota,2008,Kenyan Used,Automatic,158000,Kiambu,1390000,16,Petrol
Sienta,Toyota,2011,Kenyan Used,Automatic,163000,Mombasa,750000,13,Petrol
Vitz,Toyota,2012,Kenyan Used,Automatic,114001,Mombasa,630000,12,Petrol
Axio,Toyota,2007,Kenyan Used,Automatic,151240,Mombasa,750000,17,Petrol
Probox,Toyota,2009,Kenyan Used,Automatic,121389,Nairobi,700000,15,Petrol
Premio,Toyota,2007,Kenyan Used,Automatic,171000,Nairobi,675000,17,Petrol
Corolla,Toyota,2001,Kenyan Used,Automatic,70636,Mombasa,700000,23,Petrol
Voxy,Toyota,2009,Kenyan Used,Automatic,115353,Kiambu,670000,15,Petrol
Axio,Toyota,2008,Kenyan Used,Automatic,90000,Mombasa,780000,16,Petrol
Land,Toyota,2012,Kenyan Used,Automatic,157740,Nairobi,4100000,12,Petrol
Wish,Toyota,2012,Kenyan Used,Automatic,110000,Nairobi,1120000,12,Petrol
Mark,Toyota,2006,Kenyan Used,Automatic,138000,Nairobi,750000,18,Petrol
Hilux,Toyota,2009,Kenyan Used,Manual,140000,Nairobi,1600000,15,Petrol
Crown,Toyota,2011,Kenyan Used,Automatic,87214,Mombasa,1050000,13,Petrol
Succeed,Toyota,2014,Kenyan Used,Automatic,150000,Mombasa,900000,10,Petrol
Probox,Toyota,2011,Kenyan Used,Automatic,123000,Nairobi,685000,13,Petrol
Premio,Toyota,2005,Kenyan Used,Automatic,176000,Nairobi,670000,19,Petrol
Noah,Toyota,2013,Kenyan Used,Automatic,105199,Nairobi,1580000,11,Petrol
Land,Toyota,2010,Kenyan Used,Automatic,102855,Mombasa,4800000,14,Petrol
Noah,Toyota,2011,Kenyan Used,Automatic,128523,Nairobi,1170000,13,Petrol
Vanguard,Toyota,2008,Kenyan Used,Automatic,142152,Mombasa,1250000,16,Petrol
Fortuner,Toyota,2011,Kenyan Used,Automatic,125000,Nairobi,2590000,13,Petrol
Axio,Toyota,2011,Kenyan Used,Automatic,112000,Nairobi,785000,13,Petrol
Land,Toyota,2018,Kenyan Used,Manual,78000,Nairobi,4400000,6,Petrol
Voxy,Toyota,2012,Kenyan Used,Automatic,156300,Nairobi,980000,12,Petrol
Allion,Toyota,2008,Kenyan Used,Automatic,108000,Mombasa,640000,16,Petrol
Probox,Toyota,2012,Kenyan Used,Automatic,121000,Nairobi,698000,12,Petrol
Allion,Toyota,2008,Kenyan Used,Automatic,118342,Mombasa,840000,16,Petrol
Probox,Toyota,2008,Kenyan Used,Automatic,109428,Nairobi,625000,16,Petrol
Mark,Toyota,2008,Kenyan Used,Automatic,94000,Nairobi,780000,16,Petrol
Fielder,Toyota,2015,Kenyan Used,Automatic,69000,Nairobi,1100000,9,Petrol
Premio,Toyota,2003,Kenyan Used,Automatic,186000,Kiambu,670000,21,Petrol
ISIS,Toyota,2012,Kenyan Used,Automatic,88000,Nairobi,985000,12,Petrol
Axio,Toyota,2010,Kenyan Used,Automatic,139000,Nairobi,700000,14,Petrol
Wish,Toyota,2012,Kenyan Used,Automatic,136000,Nairobi,920000,12,Petrol
Ractis,Toyota,2008,Kenyan Used,Automatic,135868,Nairobi,550000,16,Petrol
Premio,Toyota,2005,Kenyan Used,Automatic,230233,Nairobi,550000,19,Petrol
Vitz,Toyota,2012,Kenyan Used,Automatic,127885,Nairobi,530000,12,Petrol
Fielder,Toyota,2011,Kenyan Used,Automatic,98100,Nairobi,1049000,13,Petrol
Crown,Toyota,2012,Kenyan Used,Automatic,98412,Mombasa,1700000,12,Petrol
Premio,Toyota,2011,Kenyan Used,Automatic,78000,Nairobi,1280000,13,Petrol
Probox,Toyota,2013,Kenyan Used,Automatic,142834,Nairobi,635000,11,Petrol
Harrier,Toyota,2007,Kenyan Used,Automatic,106369,Nairobi,1180000,17,Petrol
Crown,Toyota,2007,Kenyan Used,Automatic,120059,Nairobi,810000,17,Petrol
Premio,Toyota,2009,Kenyan Used,Automatic,116396,Nairobi,930000,15,Petrol
Allion,Toyota,2010,Kenyan Used,Automatic,108000,Nairobi,1050000,14,Petrol
Land,Toyota,2006,Kenyan Used,Automatic,179000,Nairobi,1750000,18,Petrol
Premio,Toyota,2003,Kenyan Used,Automatic,188000,Nairobi,645000,21,Petrol
Land,Toyota,2006,Kenyan Used,Automatic,119000,Nairobi,2000000,18,Petrol
Wish,Toyota,2009,Kenyan Used,Automatic,160000,Nairobi,880000,15,Petrol
Crown,Toyota,2012,Kenyan Used,Automatic,105000,Mombasa,1350000,12,Petrol
Land,Toyota,2010,Kenyan Used,Automatic,118412,Mombasa,4200000,14,Petrol
Passo,Toyota,2008,Kenyan Used,Automatic,135000,Nairobi,565000,16,Petrol
Corolla,Toyota,2010,Kenyan Used,Automatic,50000,Nairobi,880000,14,Petrol
Corolla,Toyota,2003,Kenyan Used,Automatic,130000,Nairobi,550000,21,Petrol
Fielder,Toyota,2013,Kenyan Used,Automatic,102443,Nairobi,1130000,11,Petrol
Vanguard,Toyota,2010,Kenyan Used,Automatic,116000,Nairobi,1650000,14,Petrol
Harrier,Toyota,2010,Kenyan Used,Automatic,126351,Nyeri,1750000,14,Petrol
Hilux,Toyota,2018,Kenyan Used,Manual,78450,Nyeri,2300000,6,Petrol
Land,Toyota,2006,Kenyan Used,Automatic,150000,Nairobi,1980000,18,Petrol
Harrier,Toyota,2009,Kenyan Used,Automatic,161234,Mombasa,1250000,15,Petrol
Rush,Toyota,2008,Kenyan Used,Automatic,102580,Nairobi,980000,16,Petrol
Rush,Toyota,2012,Kenyan Used,Automatic,140000,Mombasa,1150000,12,Petrol
Crown,Toyota,2011,Kenyan Used,Automatic,79685,Nairobi,1200000,13,Petrol
Premio,Toyota,2012,Kenyan Used,Automatic,115863,Nairobi,1170000,12,Petrol
Mark,Toyota,2010,Kenyan Used,Automatic,130504,Nairobi,1070000,14,Petrol
Hilux,Toyota,2010,Kenyan Used,Automatic,121000,Mombasa,1300000,14,Petrol
Hilux,Toyota,2012,Kenyan Used,Automatic,121000,Mombasa,1800000,12,Petrol
Fielder,Toyota,2003,Kenyan Used,Automatic,168243,Nairobi,655000,21,Petrol
Mark,Toyota,2013,Kenyan Used,Automatic,138000,Mombasa,1550000,11,Petrol
Rush,Toyota,2007,Kenyan Used,Automatic,110000,Nairobi,790000,17,Petrol
Crown,Toyota,2011,Kenyan Used,Automatic,80000,Mombasa,1480000,13,Petrol
Harrier,Toyota,2010,Kenyan Used,Automatic,111423,Mombasa,1500000,14,Petrol
Harrier,Toyota,2009,Kenyan Used,Automatic,124253,Nairobi,1680000,15,Petrol
Fielder,Toyota,2006,Kenyan Used,Automatic,124085,Mombasa,650000,18,Petrol
Probox,Toyota,2013,Kenyan Used,Automatic,118000,Nakuru,1030000,11,Petrol
Wish,Toyota,2011,Kenyan Used,Automatic,134000,Nairobi,970000,13,Petrol
Succeed,Toyota,2011,Kenyan Used,Automatic,124000,Nairobi,700000,13,Petrol
Crown,Toyota,2011,Kenyan Used,Automatic,115412,Mombasa,1260000,13,Petrol
Succeed,Toyota,2009,Kenyan Used,Automatic,123000,Nairobi,660000,15,Petrol
Probox,Toyota,2013,Kenyan Used,Automatic,110852,Nairobi,680000,11,Petrol
Hilux,Toyota,2008,Kenyan Used,Automatic,102085,Nairobi,2080000,16,Petrol
Land,Toyota,2009,Kenyan Used,Automatic,115846,Nairobi,4800000,15,Petrol
Wish,Toyota,2010,Kenyan Used,Automatic,114850,Nairobi,900000,14,Petrol
Probox,Toyota,2012,Kenyan Used,Automatic,204000,Kiambu,650000,12,Petrol
Hilux,Toyota,2009,Kenyan Used,Automatic,152000,Nairobi,2090000,15,Petrol
RAV4,Toyota,2012,Kenyan Used,Automatic,169000,Nairobi,1350000,12,Petrol
Sienta,Toyota,2017,Kenyan Used,Automatic,68532,Nairobi,1290000,7,Petrol
Land,Toyota,2008,Kenyan Used,Automatic,123023,Nairobi,2250000,16,Petrol
Rush,Toyota,2006,Kenyan Used,Automatic,110000,Mombasa,850000,18,Petrol
Corolla,Toyota,2013,Kenyan Used,Automatic,122000,Mombasa,900000,11,Petrol
TownAce,Toyota,2007,Kenyan Used,Automatic,120000,Mombasa,590000,17,Petrol
Premio,Toyota,2006,Kenyan Used,Automatic,117568,Nairobi,650000,18,Petrol
Hilux,Toyota,2013,Kenyan Used,Manual,108000,Nairobi,1480000,11,Petrol
Land,Toyota,2005,Kenyan Used,Automatic,145086,Nairobi,3200000,19,Petrol
Succeed,Toyota,2012,Kenyan Used,Automatic,140000,Mombasa,780000,12,Petrol
Voxy,Toyota,2005,Kenyan Used,Automatic,125000,Nairobi,625000,19,Petrol
Probox,Toyota,2008,Kenyan Used,Automatic,160000,Nairobi,530000,16,Petrol
Premio,Toyota,2006,Kenyan Used,Automatic,117568,Nairobi,650000,18,Petrol
Wish,Toyota,2010,Kenyan Used,Automatic,112365,Nairobi,980000,14,Petrol
Hilux,Toyota,2010,Kenyan Used,Manual,140000,Nairobi,1480000,14,Petrol
Land,Toyota,2013,Kenyan Used,Automatic,77053,Nairobi,3999999,11,Petrol
Wish,Toyota,2010,Kenyan Used,Automatic,95045,Nairobi,1150000,14,Petrol
Wish,Toyota,2013,Kenyan Used,Automatic,72685,Nairobi,1270000,11,Petrol
Premio,Toyota,2007,Kenyan Used,Automatic,118000,Nairobi,875000,17,Petrol
Harrier,Toyota,2011,Kenyan Used,Automatic,80400,Nairobi,1850000,13,Petrol
Vitz,Toyota,2015,Kenyan Used,Automatic,95000,Nairobi,890000,9,Petrol
Land,Toyota,2006,Kenyan Used,Automatic,145000,Nairobi,2100000,18,Petrol
Vitz,Toyota,2011,Kenyan Used,Automatic,95833,Mombasa,650000,13,Petrol
Land,Toyota,2003,Kenyan Used,Manual,230000,Nairobi,2500000,21,Petrol
Axio,Toyota,2009,Kenyan Used,Automatic,152140,Nyeri,720000,15,Petrol
Ractis,Toyota,2010,Kenyan Used,CVT,85050,Mombasa,670000,14,Petrol
Harrier,Toyota,2004,Kenyan Used,Automatic,138000,Nairobi,1200000,20,Petrol
Vitz,Toyota,2012,Kenyan Used,Automatic,160325,Mombasa,680000,12,Petrol
Premio,Toyota,2007,Kenyan Used,Automatic,120855,Nairobi,870000,17,Petrol
TownAce,Toyota,2002,Kenyan Used,Automatic,184142,Nairobi,550000,22,Petrol
Mark,Toyota,2012,Kenyan Used,Automatic,100000,Nairobi,1130000,12,Petrol
Vanguard,Toyota,2007,Kenyan Used,Automatic,144000,Nairobi,1600000,17,Petrol
Hilux,Toyota,2011,Kenyan Used,Manual,195200,Kitui,950000,13,Petrol
Voxy,Toyota,2012,Kenyan Used,Automatic,117000,Nairobi,1230000,12,Petrol
Hilux,Toyota,2010,Kenyan Used,Automatic,124000,Nairobi,2380000,14,Petrol
Wish,Toyota,2011,Kenyan Used,Automatic,104520,Nairobi,1030000,13,Petrol
Land,Toyota,2006,Kenyan Used,Automatic,962559,Nairobi,2250000,18,Petrol
RAV4,Toyota,2010,Kenyan Used,Automatic,111412,Mombasa,1350000,14,Petrol
Wish,Toyota,2014,Kenyan Used,Automatic,102431,Machakos,1250000,10,Petrol
Harrier,Toyota,2009,Kenyan Used,Automatic,124000,Nairobi,1750000,15,Petrol
Corolla,Toyota,2005,Kenyan Used,Automatic,88845,Nairobi,590000,19,Petrol
Premio,Toyota,2004,Kenyan Used,Automatic,160000,Nairobi,685000,20,Petrol
Land,Toyota,2005,Kenyan Used,Automatic,123563,Nairobi,2180000,19,Petrol
IST,Toyota,2008,Kenyan Used,Automatic,147000,Nairobi,690000,16,Petrol
Land,Toyota,2010,Kenyan Used,Automatic,98563,Nairobi,3380000,14,Petrol
Noah,Toyota,2014,Kenyan Used,Automatic,796103,Mombasa,1650000,10,Petrol
Allion,Toyota,2012,Kenyan Used,Automatic,96000,Mombasa,1150000,12,Petrol
Noah,Toyota,2010,Kenyan Used,Automatic,160000,Mombasa,950000,14,Petrol
Probox,Toyota,2013,Kenyan Used,Automatic,105000,Nairobi,850000,11,Petrol
Alphard,Toyota,2006,Kenyan Used,Automatic,143000,Nairobi,995000,18,Petrol
Land,Toyota,2006,Kenyan Used,Manual,167000,Nairobi,1640000,18,Petrol
Succeed,Toyota,2008,Kenyan Used,Automatic,121000,Nairobi,630000,16,Petrol
Crown,Toyota,2012,Kenyan Used,Automatic,89123,Mombasa,1299000,12,Petrol
Land,Toyota,2011,Kenyan Used,Automatic,97000,Nairobi,4000000,13,Petrol
Mark,Toyota,2011,Kenyan Used,Automatic,100000,Nairobi,850000,13,Petrol
Vitz,Toyota,2014,Kenyan Used,Automatic,68386,Kiambu,820000,10,Petrol
Probox,Toyota,2012,Kenyan Used,Automatic,150000,Nairobi,659000,12,Petrol
Premio,Toyota,2009,Kenyan Used,Automatic,142000,Nairobi,885000,15,Petrol
Land,Toyota,2004,Kenyan Used,Automatic,199000,Nairobi,2250000,20,Petrol
Land,Toyota,2006,Kenyan Used,Automatic,130442,Nairobi,3200000,18,Petrol
Allion,Toyota,2012,Kenyan Used,Automatic,125045,Nairobi,1150000,12,Petrol
Fielder,Toyota,2008,Kenyan Used,Automatic,180000,Nairobi,825000,16,Petrol
IST,Toyota,2005,Kenyan Used,Automatic,85000,Nairobi,550000,19,Petrol
Harrier,Toyota,2010,Kenyan Used,Automatic,111200,Nairobi,1850000,14,Petrol
Harrier,Toyota,2010,Kenyan Used,Automatic,112000,Nairobi,1800000,14,Petrol
Harrier,Toyota,2005,Kenyan Used,Automatic,118412,Mombasa,1150000,19,Petrol
Allion,Toyota,2009,Kenyan Used,Automatic,140000,Nairobi,860000,15,Petrol
Noah,Toyota,2012,Kenyan Used,Automatic,121528,Nairobi,1290000,12,Petrol
Land,Toyota,2005,Kenyan Used,Automatic,150000,Nairobi,1650000,19,Petrol
Land,Toyota,2008,Kenyan Used,Automatic,121000,Nairobi,2280000,16,Petrol
Hilux,Toyota,2012,Kenyan Used,Automatic,123412,Mombasa,2000000,12,Petrol
Land,Toyota,2007,Kenyan Used,Manual,117000,Mombasa,2500000,17,Petrol
Land,Toyota,2006,Kenyan Used,Automatic,121000,Nairobi,3300000,18,Petrol
Vanguard,Toyota,2010,Kenyan Used,Automatic,113000,Nairobi,1485000,14,Petrol
Allion,Toyota,2002,Kenyan Used,Automatic,232488,Nairobi,580000,22,Petrol
Vanguard,Toyota,2008,Kenyan Used,Automatic,119000,Nairobi,1390000,16,Petrol
Land,Toyota,2003,Kenyan Used,Automatic,163000,Mombasa,2300000,21,Petrol
